saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
25/02075,Skaidi,Nord,NO4,Area Nett AS,Pelagia,Datasenter,2025-04-09,10.0,2025-11-02,,Lars Erik Johansen
25/02078,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,ISE Utvikling AS,Hydrogen/ammoniakk,2023-11-17,5.0,2026-12-31,,Ingvild Grøtterud Birkeland
25/02082,Kristiansand,Sør Rogaland og Agder,NO2,Glitre Nett AS,Agder Hydrogen Hub,Hydrogen/ammoniakk,2024-11-21,40.0,2028-12-01,,Geir Kåsa
25/02083,Kvitfossen,Nord,NO4,Elmea AS,Lofoten Salmon as,Oppdrettsnæring,2025-04-24,5.0,2028-09-28,,Lars Erik Johansen
25/02087,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Annet forbruk,2025-03-12,6.0,2027-11-30,,Heidi Hellesvik Ringstad
25/02103,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,GreenH,Hydrogen/ammoniakk,2024-12-31,10.0,2034-09-29,,Ingvild Grøtterud Birkeland
25/02112,Vang,Innlandet,NO1,Elvia As,Green Mountain Innlandet AS,Datasenter,2022-10-08,70.0,2027-12-30,,Heidi Hellesvik Ringstad
25/02121,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,RÅ BIOPARK AS,Petroleum,2025-05-25,5.0,2027-08-31,,Lars Erik Johansen
25/02124,Lio,Telemark og Vestfold,NO2,Statkraft Energi As,DataEnergy,Datasenter,2025-04-10,50.0,2026-03-31,,Geir Kåsa
25/02130,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Vann- og avløpsetaten,Annet forbruk,2020-10-20,16.0,2026-04-01,,Heidi Hellesvik Ringstad
25/02131,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Vann- og avløpsetaten,Annet forbruk,2020-10-20,4.0,2026-06-29,,Heidi Hellesvik Ringstad
25/02153,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,2025-06-12,200.0,2028-09-29,,Lars Erik Johansen
25/02154,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,2025-06-12,90.0,2029-09-29,,Lars Erik Johansen
25/02160,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,AtNorth AS,Datasenter,2025-06-09,60.0,2028-06-29,,Heidi Hellesvik Ringstad
25/02175,Røykås,"Oslo, Akershus og Østfold",NO1,Elvia As,RUTER AS,Transport,2025-05-18,6.0,2028-06-29,,Heidi Hellesvik Ringstad
25/02191,Hof,Telemark og Vestfold,NO2,Lede AS,Uncap AS,Annet forbruk,2025-07-03,30.0,2027-02-10,,Geir Kåsa
25/02229,Kvitfossen,Nord,NO4,Elmea AS,Polarfeed AS,Industri,2025-07-16,15.0,2028-01-01,,Lars Erik Johansen
25/02230,Vinnelys,Nord,NO4,Vissi AS,Mowi AS,Oppdrettsnæring,2025-07-23,4.8,2028-05-31,,Lars Erik Johansen
