saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
24/01621,Klæbu,Midt,NO3,Tensio AS,STATKRAFT VARME AS,Industri,2024-04-09,12.0,2030-07-01,,Christopher Aarnseth Ruud
24/01632,Lindås,Bergen og Haugalandet,NO5,BKK AS,Equinor ASA,Hydrogen/ammoniakk,2024-04-11,50.0,2030-10-01,,Magnus Tennøe
24/01634,Snilldal,Midt,NO3,Tensio AS,BEWI EPS Norway AS,Oppdrettsnæring,2024-03-01,3.0,2024-12-31,,Christopher Aarnseth Ruud
24/01643,Minne,Innlandet,NO1,Elvia As,STORMVIND AS,Annet forbruk,2024-12-05,20.0,2026-06-29,,Heidi Hellesvik Ringstad
24/01646,Sogn,"Oslo, Akershus og Østfold",NO1,Elvia As,Nydalen Energi AS,Annet forbruk,2024-11-26,15.0,2025-09-29,,Heidi Hellesvik Ringstad
24/01661,Eidum,Midt,NO3,Tensio AS,Verne Norway AS,Datasenter,2024-06-14,180.0,2027-12-31,,Christopher Aarnseth Ruud
24/01670,Vang,Innlandet,NO1,Elvia As,STORMVIND AS,Annet forbruk,2024-08-18,20.0,2026-03-30,,Heidi Hellesvik Ringstad
24/01708,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,NORDFJORD HAVN IKS,Transport,2024-06-04,12.0,2026-06-01,,Hans Olav Ween
24/01678,Rød,Telemark og Vestfold,NO2,Lede AS,Color Line,Transport,2024-06-19,16.5,2030-03-30,,Geir Kåsa
24/01718,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Pharma Marine AS,Industri,2024-06-14,7.0,2028-01-30,,Hans Olav Ween
24/01723,Kjelland,Sør Rogaland og Agder,NO2,Lnett AS,Sirevåg Aqua AS,Oppdrettsnæring,2024-03-20,10.0,2028-08-01,,Ingvild Grøtterud Birkeland
24/01726,Ulven,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 01 AS,Datasenter,2025-03-05,7.7,2027-09-29,,Heidi Hellesvik Ringstad
24/01729,Rana,Helgeland og Salten,NO4,Linea AS,SMA Mineral,Industri,2024-07-04,385.0,2028-03-31,,Ingvild Grøtterud Birkeland
24/01735,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Nydalen Energi AS,Annet forbruk,2024-11-26,15.0,2025-12-31,,Heidi Hellesvik Ringstad
24/01739,Surna,Midt,NO3,Mellom AS,Salfjord AS,Oppdrettsnæring,2024-06-05,55.0,2032-08-31,,Christopher Aarnseth Ruud
24/01740,Viklandet,Midt,NO3,Linja AS,Green H AS,Hydrogen/ammoniakk,2024-05-25,50.0,2026-12-01,,Christopher Aarnseth Ruud
24/01742,Fortun,Sogn og Sunnmøre,NO5,Linja AS,Hydro Aluminium AS,Industri,2024-09-03,56.0,2029-12-30,,Hans Olav Ween
24/01758,Tveiten,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,2024-08-26,100.0,2027-09-29,,Geir Kåsa
