Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Kapasitet i kø (MW),Kundens ønskede dato for tilknytning,Kundens referanse,Kunde og tilknytningsansvarlig
24/01758,Tveiten,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,26.08.2024,100,29.09.2027,,Geir Kåsa
24/01761,Kirkenes,Nord,NO4,Barents Nett As,SYDVARANGER DRIFT AS,Industri,11.09.2024,35,30.09.2026,,Lars Erik Johansen
24/01763,Vardal,Innlandet,NO1,Elvia As,Benteler Automotive Raufoss AS,Industri,22.09.2024,8,30.03.2028,,Heidi Hellesvik Ringstad
24/01769,Vang,Innlandet,NO1,Elvia As,INDUSTRIGATA 22 AS,Datasenter,06.09.2024,99,30.03.2026,,Heidi Hellesvik Ringstad
24/01783,Leirdøla,Sogn og Sunnmøre,NO5,Sygnir AS,Sogn Utvikling AS,Datasenter,18.03.2025,120,30.03.2028,,Hans Olav Ween
24/01793,Ørsta,Sogn og Sunnmøre,NO3,Linja AS,Poly-Har AS,Industri,29.05.2024,"6,4",01.06.2026,,Hans Olav Ween
24/01798,Bærheim,Sør Rogaland og Agder,NO2,Lnett AS,ASP Data Center AS,Datasenter,04.10.2024,8,01.07.2025,,Ingvild Grøtterud Birkeland
24/01801,Tegneby,"Oslo, Akershus og Østfold",NO1,WS Computing AS,WS COMPUTING AS,Datasenter,04.11.2024,480,30.12.2028,,Heidi Hellesvik Ringstad
24/01806,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Green Mountain AS,Datasenter,26.11.2024,145,29.09.2031,,Heidi Hellesvik Ringstad
24/01822,Brokke,Sør Rogaland og Agder,NO2,Lede AS,EdgeConneX MCN Norway AS,Datasenter,10.02.2025,225,30.11.2028,,Geir Kåsa
24/01833,Kirkenes,Nord,NO4,Barents Nett As,69 Data Centre AS,Datasenter,29.10.2024,25,02.07.2028,,Lars Erik Johansen
24/01849,Strinda,Midt,NO3,Tensio AS,Trondheim Havn,Transport,10.10.2024,12,01.01.2028,,Christopher Aarnseth Ruud
24/01873,Vang,Innlandet,NO1,Elvia As,Carbon Centric AS,Industri,21.10.2024,14,30.03.2027,,Heidi Hellesvik Ringstad
24/01901,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Microsoft Datacenter Norway AS,Datasenter,04.04.2025,119,30.12.2028,,Heidi Hellesvik Ringstad
24/01904,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,COOP NORGE SA,Transport,11.11.2024,5,29.09.2025,,Heidi Hellesvik Ringstad
24/01911,Rana,Helgeland og Salten,NO4,Linea AS,Nordland Data AS,Datasenter,16.12.2024,40,01.01.2027,,Ingvild Grøtterud Birkeland
24/01915,Kilbotn,Nord,NO4,Noranett AS,Statkraft Varme,Industri,19.12.2024,15,26.03.2026,,Lars Erik Johansen
