kategori,antall,dato,kilde
Antall registrerte datasentre (inkl. virksomhetsinterne),88,2026-02-06,https://nkom.no/datasenter/oversikt
Liste over kommersielle datasenteroperatører,54,2026-02-06,https://nkom.no/datasenter/oversikt
