navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
Frøya,,66,2020,ANEO VIND AS,63.68798172247297,8.660203111720415
Ytre Vikna,,66,2012,ANEO VIND AS,64.89986117095073,10.903387642448003
Valsnesset,,22,2006,ANEO VIND AS,63.81948071868763,9.631176308116382
Sørmarkfjellet transformatorstasjon,,132,2021,ANEO VIND AS,64.39106696040476,10.73104503326823
Stokkfjellet transformatorstasjon,,132,2021,ANEO VIND AS,63.129212823939106,11.191111700403079
Einarsdalen transformatorstasjon,,132,2018,ANEO VIND AS,64.1488348140289,10.30680152490625
Haraheia transformatorstasjon,,132,2018,ANEO VIND AS,64.14800900089082,10.411315778547868
Bessaker transformatorstasjon,,66,2007,ANEO VIND AS,64.21993322333944,10.40006406725601
Hundhammerfjellet transformatorstasjon,,66,1998,ANEO VIND AS,64.75531574432668,11.341648147026216
"TS132 (T01, T02, T03)",,132,1997,OMYA HUSTADMARMOR AS,62.85061001958077,7.122249583063385
T1_ÅMDAL,,66,1993,SKAFSÅ KRAFTVERK ANS,59.36356980422271,8.052246951771702
T1_OSEN,,66,2001,SKAFSÅ KRAFTVERK ANS,59.3561944520637,8.177025094430741
,,66,,VESTALL AS,68.9069568919494,15.160630679887579
,,66,,VESTALL AS,68.61733885153816,14.49491307654151
,,66,,VESTALL AS,68.7200271888121,14.66351378340219
,,66,,VESTALL AS,68.7107572341728,15.442320715591052
,,66,,TENSIO TS AS,63.24534942145023,10.169328025012629
,,66,,TENSIO TS AS,63.430885099334176,10.378873567398365
,,66,,TENSIO TS AS,63.14860156834259,10.316458598366276
,,132,,TENSIO TS AS,63.891480178355906,10.2201628996788
,,132,,TENSIO TS AS,62.80236408565958,10.012787754973834
,,132,,TENSIO TS AS,63.19296352283749,10.952350811918434
,,132,,TENSIO TS AS,63.21519672664667,11.03745184885959
,,66,,TENSIO TS AS,63.380104928191344,10.351807125306106
,,66,,TENSIO TS AS,63.516774638112075,9.110562761397015
,,132,,TENSIO TS AS,63.164531096082854,11.231294164897335
,,66,,TENSIO TS AS,63.300965303043775,10.483985118374383
,,66,,TENSIO TS AS,63.32203047412151,10.436473146823777
,,66,,TENSIO TS AS,63.35193829547753,10.390339438704862
,,66,,TENSIO TS AS,63.44810783728419,10.444030304482768
,,66,,TENSIO TS AS,63.4323421581085,10.461445726827673
,,66,,TENSIO TS AS,63.42269076537805,10.530286139440147
,,66,,TENSIO TS AS,63.410677499320045,10.482511214951352
,,66,,TENSIO TS AS,63.36686982781254,10.187625759896251
,,66,,TENSIO TS AS,63.36218688991309,10.341910807787906
,,66,,TENSIO TS AS,63.43327492390693,10.4081647221224
,,66,,TENSIO TS AS,63.434581394958705,10.423901282059852
,,66,,TENSIO TS AS,63.373187620746336,10.406406334300627
,,66,,TENSIO TS AS,63.42023699364652,10.397854952252548
,,66,,TENSIO TS AS,63.41123474289154,10.437113477508653
,,66,,TENSIO TS AS,63.39082434638163,10.404600503143309
,,66,,TENSIO TS AS,63.40597416065641,10.352128766569074
,,66,,TENSIO TS AS,63.70258568850755,8.808363667986642
,,66,,TENSIO TS AS,64.17866200105492,10.402195302586469
,,66,,TENSIO TS AS,63.758793954626974,9.775462632812332
,,132,,TENSIO TS AS,63.305184350686844,9.14939453597201
,,66,,TENSIO TS AS,63.287404034815374,9.85215059242874
,,66,,TENSIO TS AS,63.309912216849696,9.822720182513844
,,132,,TENSIO TS AS,63.03107792813405,11.687957194557454
,,132,,TENSIO TS AS,63.39335032585541,10.788690317222395
,,66,,TENSIO TS AS,62.583186820028715,9.675543252280779
,,66,,TENSIO TS AS,63.15300131048375,10.296146999115171
,,66,,TENSIO TS AS,63.30651518716048,10.165380131501177
,,66,,TENSIO TS AS,62.96680243757633,10.248111592295617
,,132,,TENSIO TS AS,63.966670316507,10.201997792151378
,,66,,TENSIO TS AS,63.71156487356438,9.6718580540001
,,132,,TENSIO TS AS,63.397038065972964,10.668091586040987
,,66,,TENSIO TS AS,63.60389108901629,10.108470006423016
,,132,,TENSIO TS AS,63.62648900462165,9.71206176394432
,,66,,TENSIO TS AS,63.28417948135514,10.262513575119717
,,66,,TENSIO TS AS,63.12021457867999,9.697057911116326
,,66,,TENSIO TS AS,62.58274181303302,9.330738338987064
,,66,,TENSIO TS AS,62.71285210800138,10.051719188280932
,,66,,TENSIO TS AS,63.63443083698814,8.782111482675917
,,66,,TENSIO TS AS,62.59718168628978,9.678898771829246
,,66,,TENSIO TS AS,63.03171693433131,10.30039988867954
,,66,,TENSIO TS AS,63.0528754870287,9.69813734656982
,,66,,TENSIO TS AS,63.689764718598205,10.26461913909752
,,132,,TENSIO TS AS,63.40030640586229,9.517549564365744
,,66,,TENSIO TS AS,62.81179326845062,11.354882224260571
,,132,,TENSIO TS AS,63.573782445593274,8.958872320754457
,,66,,TENSIO TS AS,63.24509837649137,10.168954499193728
,,66,,TENSIO TS AS,63.491177807369354,9.161401699625126
,,132,,GLITRE NETT AS,58.582602416432216,7.809757348402439
,,110,,GLITRE NETT AS,58.087187506151714,7.769449028385525
,,110,,GLITRE NETT AS,58.338102736202046,7.040668455812066
,,110,,GLITRE NETT AS,58.68038780344056,7.477117161700356
,,110,,GLITRE NETT AS,58.27619807424222,6.852389563384026
,,50,,GLITRE NETT AS,58.14043414375843,7.9686994730876775
,,66,,GLITRE NETT AS,58.59615373588459,8.715691226633188
,,66,,GLITRE NETT AS,59.35071725956684,7.295680824443878
,,66,,GLITRE NETT AS,59.39572413093821,7.202067858910152
,,132,,GLITRE NETT AS,58.671655870147795,6.75484390226931
,,132,,GLITRE NETT AS,58.94916573773511,8.520024673842837
,,132,,GLITRE NETT AS,58.300679872267665,7.966459408488377
,,66,,GLITRE NETT AS,58.49853023649512,8.871982541606844
,,132,,GLITRE NETT AS,59.12421982825846,7.509981921817218
,,132,,GLITRE NETT AS,58.99513317864365,7.546703570436353
,,66,,GLITRE NETT AS,59.34623761104131,7.250353694482165
,,66,,GLITRE NETT AS,58.41371188636158,6.6656776167934595
,,132,,GLITRE NETT AS,58.54706269934057,8.183495632779662
,,110,,GLITRE NETT AS,58.16047818516842,6.7115549843432625
,,110,,GLITRE NETT AS,58.55435155281285,7.375196158128807
,,50,,GLITRE NETT AS,58.15384511761355,7.958472207966008
,,132,,GLITRE NETT AS,58.346690402461334,8.53467301590003
,,132,,GLITRE NETT AS,59.1176629236984,7.573402766876815
,,110,,GLITRE NETT AS,58.18215088127034,7.867035336378326
,,132,,GLITRE NETT AS,58.46782087180714,8.765127221369754
,,110,,GLITRE NETT AS,58.25932964024469,7.897209531105516
,,132,,GLITRE NETT AS,58.662955748749155,8.641474471187262
,,110,,GLITRE NETT AS,58.037541971540996,7.118071957810746
,,66,,GLITRE NETT AS,59.57627549679903,7.280361716950472
,,66,,GLITRE NETT AS,59.52098235612357,7.360463756020027
,,132,,GLITRE NETT AS,58.757011361045215,8.483358995389187
,,50,,GLITRE NETT AS,58.11178567288321,7.951362033138456
,,50,,GLITRE NETT AS,58.123796191434465,7.963687376419906
,,132,,GLITRE NETT AS,58.13655316442718,7.957318125162801
,,50,,GLITRE NETT AS,58.14717401061843,7.987753049485626
,,50,,GLITRE NETT AS,58.15166735372555,7.998488104324788
,,132,,GLITRE NETT AS,58.156356583115134,7.956029890730829
,,66,,GLITRE NETT AS,58.47321911876517,8.818856824219008
,,66,,GLITRE NETT AS,58.4655364373677,8.746800088382136
,,66,,GLITRE NETT AS,58.51096309073045,8.625562023401962
,,132,,GLITRE NETT AS,58.81505828925768,9.088407677858614
,,66,,GLITRE NETT AS,58.72298050403886,9.222445640405923
,,132,,GLITRE NETT AS,58.72792062627471,9.04726619464036
,,132,,GLITRE NETT AS,58.61854700766016,8.875840161509872
,,132,,GLITRE NETT AS,58.40161605430466,8.688255322322691
,,132,,GLITRE NETT AS,58.44459812489046,8.70002690430537
,,132,,GLITRE NETT AS,58.49704852870589,8.801243118772478
,,132,,GLITRE NETT AS,58.36869685354463,8.592116104704813
,,132,,GLITRE NETT AS,58.26233458842067,8.351326329679242
,,132,,GLITRE NETT AS,58.34179784671534,8.233043761161637
,,132,,GLITRE NETT AS,58.1621958487429,8.016862346190955
,,132,,GLITRE NETT AS,58.4184556363455,8.289060710158743
,,300,,GLITRE NETT AS,58.27942861899378,6.8921697209748185
,,66,,GLITRE NETT AS,58.25395664976621,7.9638963029767815
,,66,,GLITRE NETT AS,58.297975349274274,6.639312461563471
,,110,,GLITRE NETT AS,58.301119478236515,6.6740410369328025
,,110,,GLITRE NETT AS,58.10494986577553,6.690284612100657
,,110,,GLITRE NETT AS,58.09890904983923,6.837172838761626
,,110,,GLITRE NETT AS,58.15743595552515,7.087172794970727
,,110,,GLITRE NETT AS,58.089185799043,7.316677733972231
,,110,,GLITRE NETT AS,58.03457075631122,7.454877528313323
,,110,,GLITRE NETT AS,58.029072423081644,7.479995212268605
,,50,,GLITRE NETT AS,58.20767926703858,7.927952380812239
,,110,,GLITRE NETT AS,58.25656029776411,7.963055406751946
,,66,,GLITRE NETT AS,58.26140904802421,7.972938677333948
,,110,,GLITRE NETT AS,58.23734245419038,8.024237055880382
,,110,,GLITRE NETT AS,58.17802086953379,8.119650569806932
,,110,,GLITRE NETT AS,58.1397698331158,8.119041687359536
,,132,,GLITRE NETT AS,60.04943758557475,9.200473469299268
,,132,,GLITRE NETT AS,59.61896788571763,9.667773366904642
,,66,,GLITRE NETT AS,59.862867512087426,9.385056290675312
,,132,,GLITRE NETT AS,60.22720268361149,10.373430342944904
,,132,,GLITRE NETT AS,60.39368608330369,10.541686917370125
,,132,,GLITRE NETT AS,60.21154856215974,10.700104849707657
,,50,,GLITRE NETT AS,59.74408101809888,10.227013465540294
,,66,,GLITRE NETT AS,60.57791323902413,8.41002353090276
,,132,,GLITRE NETT AS,60.23891604273311,9.000251016516438
,,132,,GLITRE NETT AS,59.94578264846538,9.93508246918477
,,132,,GLITRE NETT AS,60.25470544149699,8.702988787392936
,,66,,GLITRE NETT AS,59.5983945829326,9.796827258915158
,,50,,GLITRE NETT AS,59.7179957220924,10.153182777331931
,,132,,GLITRE NETT AS,60.15257024234691,10.248230993994046
,,132,,GLITRE NETT AS,60.136434710302,10.313796883551898
,,66,,GLITRE NETT AS,59.67376317320232,9.640554745773398
,,66,,GLITRE NETT AS,59.70077298653598,9.612330524467927
,,50,,GLITRE NETT AS,59.75772640530612,10.131183286273382
,,50,,GLITRE NETT AS,59.72230089942898,10.260360076822673
,,50,,GLITRE NETT AS,59.7650577426136,10.07833401524009
,,50,,GLITRE NETT AS,59.7557033451032,9.995254079129236
,,132,,GLITRE NETT AS,59.655302273933074,10.573602092777353
,,50,,GLITRE NETT AS,59.72517384517964,10.2286716074961
,,132,,GLITRE NETT AS,60.18260843258763,10.236473800845312
,,66,,GLITRE NETT AS,59.6544055706983,9.653527295765613
,,66,,GLITRE NETT AS,59.612013039099985,9.687707929626383
,,132,,GLITRE NETT AS,60.39121860372701,9.53131155057726
,,132,,GLITRE NETT AS,59.758701321296705,10.457954960412005
,,132,,GLITRE NETT AS,59.55440892411696,10.563893898778593
,,132,,GLITRE NETT AS,59.751669230589435,10.33483961545583
,,66,,GLITRE NETT AS,59.89929601644618,9.888612806260157
,,132,,GLITRE NETT AS,60.08814539330405,10.096968522905067
,,132,,GLITRE NETT AS,59.83143169874055,10.297384197988322
,,132,,GLITRE NETT AS,59.79524027219738,10.252909673681037
,,132,,GLITRE NETT AS,60.23509834394129,9.932795086481615
,,50,,GLITRE NETT AS,59.743722930229815,10.190564501142266
,,132,,GLITRE NETT AS,60.22137188338129,9.598282683971012
,,132,,GLITRE NETT AS,59.98465891701691,9.304966175644843
,,132,,GLITRE NETT AS,59.744584957093515,10.016530128085677
,,50,,GLITRE NETT AS,59.73858818275449,10.174039453155592
,,66,,GLITRE NETT AS,59.76572011706541,9.897980618462022
,,66,,GLITRE NETT AS,59.840261510454646,9.891715259927121
,,132,,GLITRE NETT AS,59.749639840956384,10.192419330995799
,,132,,GLITRE NETT AS,59.744986626993324,10.113381365032874
,,66,,GLITRE NETT AS,59.48561582650537,10.007430916861331
Arna,,132,,BKK AS,60.39440510366464,5.455737199380357
Fana,,132,,BKK AS,60.28691764178342,5.343682016178705
Litlesotra,,132,,BKK AS,60.365002129309666,5.131461235161231
Kollsnes,,132,,BKK AS,60.550852668725305,4.844415919928975
Samnanger,,132,,BKK AS,60.398015921737475,5.840440568838517
Breivik,,45,1997,BKK AS,60.36756939205002,5.195541108989762
Fyllingsdalen,,132,1966,BKK AS,60.34760489834551,5.295163529832607
Os,,132,1939,BKK AS,60.19137882019813,5.4722638977871565
Hammersland,,132,2016,BKK AS,60.26206718964237,5.074982009724271
Sandøy,,132,,BKK AS,60.85708959830597,4.9982666379542
Midtbygda,,132,1972,BKK AS,60.465553020437255,5.338786468609591
Rå,,132,1967,BKK AS,60.28810392928426,5.320734700059133
Simonsvik,,132,1943,BKK AS,60.386250260905,5.2691793613017985
Storetveit,,132,1956,BKK AS,60.35081279385226,5.349923762469145
Helldal,,132,1920,BKK AS,60.32873204309402,5.3807724217848385
Loddefjord,,132,1972,BKK AS,60.36488854087807,5.235724565210284
Strømgaten,,132,1950,BKK AS,60.38952095272055,5.329908391821201
Koengen,,132,1965,BKK AS,60.40046263905752,5.321544941313061
Sandviken,,45,1927,BKK AS,60.41306940726922,5.327261350427306
Dolvik,,132,1981,BKK AS,60.302690961463945,5.268356658767059
Arnavågen,,132,1987,BKK AS,60.42854052807968,5.453526313019634
Dokken,,132,1982,BKK AS,60.38973868717577,5.313005377896689
Solheim,,132,1920,BKK AS,60.37293329065219,5.33919319780856
Hellen,,45,1958,BKK AS,60.42380265382099,5.307284972459509
Jordal,,132,1966,BKK AS,60.431362135589055,5.332956710432766
Ravneberget,,132,1954,BKK AS,60.372010803334,5.367796289430632
Eidsvåg,,45,1972,BKK AS,60.434809978213636,5.321430184234214
Tangeland,,45,1973,BKK AS,60.3953069518768,5.454563129515815
Ågotnes,,132,1986,BKK AS,60.40412240057254,4.99885342209679
Merkesvik,,132,1995,BKK AS,60.54914764496831,4.9836837424320475
Seim,,132,1973,BKK AS,60.61060127065497,5.2785535123075995
Padøy,,132,2009,BKK AS,60.66231139745479,5.59268550843293
Øystese,,132,,BKK AS,60.39335117946036,6.180688547874433
Norheimsund,,132,1986,BKK AS,60.371782641002596,6.101838677462784
Frøyset,,132,1976,BKK AS,60.87919519174251,5.187725905281242
Hylkje,,132,2015,BKK AS,60.50974765256783,5.34023685124868
Granvin,,50,1960,BKK AS,60.52934625797799,6.729412008327759
Meland,,132,1985,BKK AS,60.54615371862495,5.181947812398598
Skjold,,132,1993,BKK AS,60.307689242648024,5.3360110229744375
Kartveit,,132,1987,BKK AS,60.62508856563524,5.09432124901845
Salhusvegen,,132,,BKK AS,60.480288989981226,5.308265791502866
Osterøy,,132,1984,BKK AS,60.51743730203639,5.509572516947856
Haukeland,,45,1974,BKK AS,60.37865357956615,5.358963576518125
Ulven,,132,,BKK AS,60.21011698502667,5.447994515788124
Langedalen,,132,,BKK AS,60.41440237740052,5.456286805691029
Liland,,132,,BKK AS,60.283356102369154,5.247814545928464
Knarvik,,132,,BKK AS,60.553719682785825,5.280655222002832
Moskog,,132,,BKK AS,61.446196583710254,6.0137671115089475
Hålandsfossen,,132,1955,BKK AS,61.33038770094763,5.4127787276462875
Lutelandet,,132,,BKK AS,61.25763645626157,4.972578687743714
Sande,,132,1994,BKK AS,61.32706849920961,5.776347334906157
Nedre Svultingen,,66,1965,BKK AS,61.15447265120146,5.349967448319168
Høyanger,,66,,BKK AS,61.22044729319935,6.068373954787981
Vadheim,,66,1971,BKK AS,61.20922188499969,5.840368397028336
Naustdal,,66,1979,BKK AS,61.518524327693804,5.720472035317699
Førde,,66,1972,BKK AS,61.458068224892045,5.854232574345841
Tefre,,132,1979,BKK AS,61.461264488391784,5.896972724155512
Haukeland,,132,1966,BKK AS,60.582719224835316,5.815802274783677
,,66,,FAGNE AS,60.13289174029913,6.62808505820732
,,66,,FAGNE AS,59.687228742503,6.5201651003119645
,,300,,FAGNE AS,59.83184669245196,6.880923290583805
,,66,,FAGNE AS,59.663212200470255,6.064778772217357
,,300,,FAGNE AS,59.82228939372449,6.817500746439323
,,66,,FAGNE AS,60.091782579347715,6.5497565294802875
,,66,,FAGNE AS,60.092285702522844,6.549845483100798
,,66,,FAGNE AS,60.10187755291896,6.551523692051007
,,66,,FAGNE AS,60.09113390631458,6.536836651007795
,,66,,FAGNE AS,60.12226782755665,6.555863004558044
,,66,,FAGNE AS,60.12186074821977,6.557099165974879
,,66,,FAGNE AS,60.065732525474395,6.550237541193411
,,300,,FAGNE AS,60.129412456657825,6.631343390515003
,,66,,FAGNE AS,59.98547387535555,6.017019788793492
,,66,,FAGNE AS,59.66720137848523,6.409655142947411
,,66,,FAGNE AS,59.64807792540736,6.362967268468422
,,300,,FAGNE AS,59.86339116132873,6.00974858567116
,,300,,FAGNE AS,59.66795222292789,6.409353648986292
,,66,,FAGNE AS,60.28365405198954,6.2967341657773455
,,66,,FAGNE AS,59.41682417251732,5.271710993342002
,,300,,FAGNE AS,60.132578045631575,6.332752052575508
,,300,,FAGNE AS,59.32784638036464,6.603470737341927
,,300,,FAGNE AS,59.48419570464275,6.672583817736796
,,66,,FAGNE AS,59.38876169164237,6.453841660183181
,,66,,FAGNE AS,59.3989973486735,6.154011195290726
,,66,,FAGNE AS,59.45982614964693,6.423440012692317
,,66,,FAGNE AS,59.22843718062424,5.198695382444552
,,66,,FAGNE AS,59.31775878574344,5.314672221471068
,,66,,FAGNE AS,59.793347600907026,5.257886043442167
,,66,,FAGNE AS,59.84347127730068,5.993616943913527
,,300,,FAGNE AS,59.931047553299884,5.395307600316029
,,300,,FAGNE AS,59.88508576756235,5.509771411936942
,,66,,FAGNE AS,59.7661964929945,5.494046414308667
,,300,,FAGNE AS,59.317261319025,5.315225171064489
,,66,,FAGNE AS,60.030035436173044,5.297992973877238
,,66,,FAGNE AS,59.59905757969406,5.809244091754338
,,66,,FAGNE AS,59.93460029927463,5.337664167018143
,,66,,FAGNE AS,59.92879806986406,5.855438850430357
,,66,,FAGNE AS,60.19178773409818,5.764933562306912
,,66,,FAGNE AS,60.0383365744439,5.7359773957926965
,,66,,FAGNE AS,59.93323056035541,5.607673863881127
,,66,,FAGNE AS,60.19677010036501,5.615421497888297
,,66,,FAGNE AS,60.249887410278895,5.743968299719591
,,66,,FAGNE AS,59.70553873747127,5.247263630731441
,,66,,FAGNE AS,59.68032205935422,5.952666842986023
,,66,,FAGNE AS,59.85740028772172,6.014960263334516
,,66,,FAGNE AS,59.77711312903794,5.488105776024599
,,66,,FAGNE AS,59.78752369636839,5.41249259621254
,,66,,FAGNE AS,59.439575052332216,5.265964096739795
,,66,,FAGNE AS,59.39763887669264,5.296740625687495
,,66,,FAGNE AS,59.66350205109577,6.065596278634686
,,66,,FAGNE AS,59.55254938501529,5.40329456918643
,,66,,FAGNE AS,59.50382248129772,5.905212566176305
,,66,,FAGNE AS,59.485779930792965,5.725545940270358
,,66,,FAGNE AS,59.397306758441296,5.6655291219754655
,,66,,FAGNE AS,59.46527140595228,5.4655390569734505
,,66,,FAGNE AS,59.36900570512833,5.478152789210731
,,66,,FAGNE AS,59.38002317402517,5.3338899300685325
,,66,,FAGNE AS,59.36338563345228,5.275894155215853
,,66,,FAGNE AS,59.27074463395178,5.307191112835539
,,66,,FAGNE AS,59.2830308005737,5.282068424291039
,,66,,FAGNE AS,59.15414198577718,5.248559633116855
Transf delomr 2,,132,2017,TELLENES VINDPARK AS,58.333168777582074,6.466661785997816
Transf Åna-Sira,,300,2017,TELLENES VINDPARK AS,58.29570998105632,6.454207088897301
,,132,,ARVA AS,67.07429276277821,14.346607172133965
,,132,,ARVA AS,66.45988834053598,13.338912064397071
,,66,,ARVA AS,67.1300858139823,16.08448619028076
,,132,,ARVA AS,66.45454996100482,13.205300527128971
,,132,,ARVA AS,67.0896444272202,15.387475440235445
,,132,,ARVA AS,67.11974260906253,16.077459774530997
,,132,,ARVA AS,67.19428954074897,15.704176176240388
,,132,,ARVA AS,67.2711763583897,15.41916142334826
,,132,,ARVA AS,67.34048466169511,15.554175637587397
,,132,,ARVA AS,66.97137279796243,14.150512876773634
,,66,,ARVA AS,67.1322357428795,14.935886580502434
,,66,,ARVA AS,67.20510790491244,14.684157062177492
,,132,,ARVA AS,67.3196383505811,14.738485612970251
,,66,,ARVA AS,66.9346440738373,14.794278383444746
,,132,,ARVA AS,66.64597462034627,13.560983915961685
,,132,,ARVA AS,66.74899305748343,13.598617610460963
,,132,,ARVA AS,66.78720241723943,13.53272529354826
,,132,,ARVA AS,66.81750493273908,13.934523878429776
,,66,,ARVA AS,67.2942242119865,14.408498528324412
,,132,,ARVA AS,67.29418300677509,14.557036771031447
,,66,,ARVA AS,67.28404434761381,14.424212594514376
,,132,,ARVA AS,67.2838183659419,14.460893751920798
,,132,,ARVA AS,69.24959110248864,17.950097946177447
,,132,,ARVA AS,69.56843273103387,18.15566660280828
,,132,,ARVA AS,69.69965944311535,19.002362308038467
,,132,,ARVA AS,69.56890434288445,18.072041769495986
,,132,,ARVA AS,69.62328670844838,18.699837164995657
,,132,,ARVA AS,69.17839647944115,18.60145873171067
,,132,,ARVA AS,68.88429929340401,18.424312300546823
,,66,,ARVA AS,69.05647315364455,19.445928962964114
,,132,,ARVA AS,69.04377654146704,18.589684653652398
,,132,,ARVA AS,69.33780442676766,18.8840661311386
,,66,,ARVA AS,70.09552703395207,20.049958897906247
,,66,,ARVA AS,69.33701151586712,18.885175154843957
,,66,,ARVA AS,69.08704636583685,17.173578619417533
,,66,,ARVA AS,69.03543975483862,19.287396346222184
,,66,,ARVA AS,69.94461792018039,19.466580498461727
,,132,,ARVA AS,69.69822267101031,18.881974422965612
,,132,,ARVA AS,69.66392482723846,18.950619173085183
,,66,,ARVA AS,69.65300609827673,18.95251850468316
,,66,,ARVA AS,69.64531547741099,18.946476833292728
,,132,,ARVA AS,69.63952678811579,18.973365096673017
,,132,,ARVA AS,69.21012515523432,19.24332316575246
,,132,,ARVA AS,69.60299856806013,19.821380740402052
,,132,,ARVA AS,68.86344932391046,18.319949250853004
,,66,,ARVA AS,69.4044869263676,17.320770887055613
,,132,,ARVA AS,69.17479922581816,18.57905958320124
,,66,,ARVA AS,69.68745056857412,18.97887059513782
,,66,,ARVA AS,69.21183778134576,19.54748553685249
,,132,,ARVA AS,69.15863171550215,18.169993531489524
,,132,,ARVA AS,69.58929882665433,20.270978762917675
,,132,,ARVA AS,69.5440094280786,18.993625906107123
,,66,,ARVA AS,69.25844115549651,17.596009350213365
,,132,,ARVA AS,69.22140122844056,18.083634480972606
,,66,,ARVA AS,69.68290719689597,19.064734679816052
,,66,,ARVA AS,68.86612040761554,17.86638148007806
,,66,,LINJA AS,62.269403920259606,5.7800334363969466
,,132,,LINJA AS,62.35979026792989,6.022864325564744
,,132,,LINJA AS,62.47778138800199,6.244953350566857
,,132,,LINJA AS,62.18096124205926,6.101657380856597
,,132,,LINJA AS,62.37436528647537,6.635525076352964
,,66,,LINJA AS,62.10875214218945,6.559586682307132
,,66,,LINJA AS,62.27786545056514,5.810535072877285
,,132,,LINJA AS,62.16352705162875,6.220028395686847
,,132,,LINJA AS,62.3180425563885,6.932222965586372
,,66,,LINJA AS,62.15371552925368,6.330207040435495
,,66,,LINJA AS,62.0187676659427,5.847145850245234
,,66,,LINJA AS,62.22082137882273,5.6965993876628405
,,66,,LINJA AS,62.14597280802153,6.085080511216254
,,66,,LINJA AS,62.25385008992403,5.916262767342104
,,66,,LINJA AS,62.24948512404855,5.967157415026759
,,132,,LINJA AS,62.263160473217845,5.848488019118894
,,66,,LINJA AS,62.337722642045456,5.656960151164255
,,66,,LINJA AS,62.24989938088047,5.969530733831013
,,66,,LINJA AS,62.04134175213719,5.520999410487627
,,66,,LINJA AS,62.143016141384045,6.128746901077767
,,66,,LINJA AS,62.339080465842095,5.858084096878337
,,132,,LINJA AS,62.22707048417963,7.422513052011102
,,132,,LINJA AS,62.47233435675766,6.164415291353659
,,132,,LINJA AS,62.43343889641512,6.2399880097590215
,,132,,LINJA AS,62.472293733210144,6.367617495446858
,,132,,LINJA AS,62.57345653857595,7.102180319841081
,,132,,LINJA AS,62.47490071190359,6.863714867244549
,,132,,LINJA AS,62.598654388105956,6.387869923574133
,,132,,LINJA AS,61.81164878565889,5.660854074636398
,,66,,LINJA AS,61.84212764194096,5.801669083101616
,,132,,LINJA AS,61.34705732096726,6.555840490764502
,,132,,LINJA AS,61.47045248203385,5.9269274933934675
,,300,,LINJA AS,61.504688886018116,7.70036646106052
,,132,,LINJA AS,61.935516148329114,5.503085126956761
,,66,,LINJA AS,61.61481467473419,5.678234590568118
,,132,,LINJA AS,61.66682877165321,5.1926391951461905
,,132,,LINJA AS,61.215907152594575,6.7548142957228565
,,420,,LINJA AS,61.21873652354179,7.02273986606767
,,420,,LINJA AS,61.24383152834441,6.14897012214088
,,132,,LINJA AS,61.843989260819356,5.789758210834985
,,132,,LINJA AS,61.82879839122048,5.548252298703955
,,132,,LINJA AS,61.594826138087235,5.0579113309863475
,,132,,LINJA AS,61.95444605911285,5.479529546242778
,,66,,LINJA AS,61.460044308183946,5.3196253633901
,,132,,LINJA AS,61.52279875679764,6.385212877987621
,,132,,LINJA AS,61.23592188343463,7.711624841817895
,,132,,LINJA AS,61.31340191491119,7.828629913883396
,,66,,LINJA AS,61.834534112588784,6.640937458857009
,,66,,LINJA AS,61.60322585806606,5.136170965831911
,,132,,LINJA AS,61.61462650100854,5.312646626536795
,,66,,LINJA AS,61.35768656148223,5.112630358134006
,,66,,LINJA AS,61.881040902485935,5.336581013496339
,,132,,LINJA AS,61.22052782358385,6.069221871979348
,,132,,LINJA AS,61.446289945073254,6.013881077547441
,,132,,LINJA AS,61.57662242501296,6.481813949476091
,,66,,LINJA AS,61.925916273266054,5.1493015400589215
,,132,,LINJA AS,61.77150693801106,5.30284061038379
,,66,,LINJA AS,61.98967770848239,6.548593895712064
,,132,,LINJA AS,61.93307757395266,6.125496921543462
,,132,,LINJA AS,61.73728648121597,6.421047038976227
,,66,,LINJA AS,61.7628408224502,6.214902773164313
,,66,,LINJA AS,61.90869645059326,6.003720204252443
,,66,,LINJA AS,61.910274642980546,6.7375117407324305
AAMOT,,66,1920,TELEMARK NETT AS,59.5726131994203,7.9950125706959625
SELJORD TRAFOSTASJON,,66,1920,TELEMARK NETT AS,59.471308629572995,8.593520649175968
AAMDAL,,66,1920,TELEMARK NETT AS,59.36358586933103,8.052261230446044
KVITESEID TRAFOSTASJON,,66,1920,TELEMARK NETT AS,59.42732004943314,8.440751859521741
LIO,,66,1920,TELEMARK NETT AS,59.46276790917881,7.939387889693647
EIKA TRAFOSTASJON,,66,1920,TELEMARK NETT AS,59.385017979211426,9.040495999938615
Libru transformatorstasjon,,66,1985,RK NETT AS,59.690602250664895,8.066037784416272
Stokmarknes Transformatorstasjon,,132,2021,NORANETT HADSEL AS,68.55275359920446,14.989691099417843
Melbu transformatorstasjon,,132,1968,NORANETT HADSEL AS,68.51065459965184,14.851876300138306
,,66,,FJELLNETT AS,61.84498113831027,8.575030606501352
,,66,,FJELLNETT AS,61.8460396744898,8.9611398441844
,,66,,FJELLNETT AS,61.76196591996611,9.536722168359892
,,66,,FJELLNETT AS,61.87798102848957,9.103532134671932
,,66,,FJELLNETT AS,62.121849817734244,8.710328453066975
,,66,,FJELLNETT AS,62.06151494293736,9.10916559656507
,,66,,FJELLNETT AS,61.78281814695099,9.541873599701908
,,66,,FJELLNETT AS,61.80359707675443,9.303805278414778
,,132,,FJELLNETT AS,61.92046869725199,8.090217306991782
