saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
24/01756,Marka,Helgeland og Salten,NO4,Linea AS,Norsk E-fuel,Industri,90.0,2025-12-21,2028-06-29,,Ingvild Grøtterud Birkeland
21/00184,Arendal Industrinett,Sør Rogaland og Agder,NO2,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,88.5,2024-08-22,2028-06-29,,Geir Kåsa
23/00955,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,80.0,2024-06-27,2027-03-31,,Ingvild Grøtterud Birkeland
21/00019,Hofstad,Midt,NO3,Tensio AS,OKEA,Petroleum,80.0,2020-06-09,2026-07-30,,Christopher Aarnseth Ruud
21/00212,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Green Mountain Enebakk AS,Datasenter,75.0,2020-09-21,2027-12-30,,Heidi Hellesvik Ringstad
24/01632,Lindås,Bergen og Haugalandet,NO5,BKK AS,Equinor ASA,Hydrogen/ammoniakk,75.0,2025-05-06,2030-12-31,,Magnus Tennøe
23/01415,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,Carbon Removal,Industri,74.0,2024-03-19,2028-03-30,,Magnus Tennøe
21/00460,Tunnsjødal,Midt,NO4,Tensio AS,Exanorth AS,Datasenter,70.0,2022-01-06,2026-12-31,,Christopher Aarnseth Ruud
21/00298,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Lefdal Mine datacenter,Datasenter,63.8,2018-10-30,2028-06-29,,Hans Olav Ween
21/00063,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Hofseth Aqua,Oppdrettsnæring,62.0,2023-12-05,2027-03-30,,Hans Olav Ween
23/01430,Rana,Helgeland og Salten,NO4,Linea AS,SMA Mineal,Industri,60.0,2025-08-10,2026-12-30,,Ingvild Grøtterud Birkeland
22/00533,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,Finnfjord AS,Industri,60.0,2025-10-08,2031-06-30,,Lars Erik Johansen
24/01660,Grenland,Telemark og Vestfold,NO2,Lede AS,Klingstone AS,Datasenter,55.0,2024-10-28,2027-12-30,,Geir Kåsa
21/00341,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Billerud Korsnäs,Industri,55.0,2023-03-15,2026-12-31,,Heidi Hellesvik Ringstad
25/02065,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Biojet AS,Industri,55.0,2025-10-09,2032-12-30,,Heidi Hellesvik Ringstad
21/00207,Kollsnes,Bergen og Haugalandet,NO5,Equinor Asa,Equinor ASA,Petroleum,51.0,2019-04-19,2024-08-29,,Magnus Tennøe
22/00692,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,Northern DC,Datasenter,50.0,2022-09-27,2028-11-30,,Ingvild Grøtterud Birkeland
24/01770,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Larkollveien 4 AS,Datasenter,50.0,2025-08-28,2027-09-29,,Heidi Hellesvik Ringstad
23/01400,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,AtNorth AS,Datasenter,50.0,2025-10-13,2028-03-30,,Heidi Hellesvik Ringstad
23/01192,Minne,Innlandet,NO1,Elvia As,AtNorth AS,Datasenter,50.0,2026-01-22,2033-03-30,,Heidi Hellesvik Ringstad
24/01748,Litle Sotra,Bergen og Haugalandet,NO5,BKK AS,Tresmarka AS,Transport,50.0,2025-05-06,2028-12-01,,Magnus Tennøe
24/01503,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GREEN HORIZON AS,Datasenter,48.0,2024-06-27,2026-12-31,,Ingvild Grøtterud Birkeland
24/01555,Minne,Innlandet,NO1,Elvia As,AtNorth AS,Datasenter,46.0,2026-01-22,2035-12-30,,Heidi Hellesvik Ringstad
21/00068,Surna,Midt,NO3,Mellom AS,Salfjord AS,Oppdrettsnæring,45.0,2025-03-13,2028-01-01,,Christopher Aarnseth Ruud
21/00365,Skaidi,Nord,NO4,Lucerna AS,Horisont Energi,Hydrogen/ammoniakk,45.0,2023-06-28,2028-04-02,,Lars Erik Johansen
21/00247,Kvinesdal,Sør Rogaland og Agder,NO2,Alcoa Norway AS,Aker BP ASA,Petroleum,45.0,2019-12-02,2026-06-29,,Geir Kåsa
22/00635,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Industri,41.0,2023-11-19,2027-12-30,,Heidi Hellesvik Ringstad
21/00475,Marka,Helgeland og Salten,NO4,Linea AS,Alcoa Mosjøen,Industri,41.0,2024-02-09,2027-12-30,,Ingvild Grøtterud Birkeland
25/02292,Vinje,Telemark og Vestfold,NO2,Statkraft Energi As,Bifrost Edge AS,Datasenter,40.0,2025-12-14,2026-12-14,,Geir Kåsa
23/01414,Lindås,Bergen og Haugalandet,NO5,BKK AS,Mongstad Eiendomsselskap,Oppdrettsnæring,40.0,2024-03-19,2026-06-29,,Magnus Tennøe
22/00493,Grenland,Telemark og Vestfold,NO2,Lede AS,INEOS Bamble AS,Industri,37.0,2024-02-05,2032-12-30,,Geir Kåsa
