saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
23/01370,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Green Mountain AS,Datasenter,18.5,2024-09-25,2027-09-29,,Heidi Hellesvik Ringstad
22/00529,Grenland,Telemark og Vestfold,NO2,Lede AS,INEOS Rafnes AS,Industri,18.0,2024-02-05,2034-09-29,,Geir Kåsa
24/01720,Bærheim,Sør Rogaland og Agder,NO2,Lnett AS,Kolumbus AS,Transport,18.0,2025-04-11,2026-06-29,,Ingvild Grøtterud Birkeland
23/01076,Alta tra,Nord,NO4,Alut As,Alta Havn,Transport,18.0,2025-11-20,2027-06-24,,Lars Erik Johansen
22/00643,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Arctic Seafarm,Oppdrettsnæring,17.6,2024-02-09,2026-06-30,,Ingvild Grøtterud Birkeland
21/00200,Arna,Bergen og Haugalandet,NO5,BKK AS,STATENS VEGVESEN,Transport,17.0,2022-11-10,2026-07-01,,Magnus Tennøe
21/00172,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,16.0,2021-01-25,2033-06-29,,Heidi Hellesvik Ringstad
23/01145,Aurland2,Hallingdal og Ringerike,NO5,Sygnir AS,Aurland Hamnevesen,Transport,16.0,2025-09-04,2026-04-30,,Hans Olav Ween
21/00371,Åfjord,Midt,NO3,Tensio AS,Vikingbase,Oppdrettsnæring,15.7,2023-12-06,2027-12-31,,Christopher Aarnseth Ruud
21/00437,Trollheim,Midt,NO3,Tensio AS,Wäcker Chemicals,Industri,15.5,2022-06-09,2031-12-30,,Christopher Aarnseth Ruud
22/00550,Fræna,Midt,NO3,Elinett AS,Troll Housing AS,Datasenter,15.0,2023-12-06,2027-07-01,,Christopher Aarnseth Ruud
23/01304,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,15.0,2024-09-25,2026-09-29,,Heidi Hellesvik Ringstad
25/02031,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Bulk AS,Datasenter,15.0,2025-10-09,2032-12-30,,Heidi Hellesvik Ringstad
23/01043,Moskog,Sogn og Sunnmøre,NO3,Linja AS,Havlandet Matfisk AS,Oppdrettsnæring,15.0,2023-09-21,2027-11-29,,Hans Olav Ween
22/00630,Boltås,Nord,NO4,Noranett AS,Rødskjær,Industri,15.0,2023-01-02,2027-05-31,,Lars Erik Johansen
23/01263,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,OSLO HAVN KF,Transport,14.0,2024-10-23,2026-06-29,,Heidi Hellesvik Ringstad
22/00614,Kristiansand,Sør Rogaland og Agder,NO2,Glitre Nett AS,AKT,Transport,14.0,2025-05-25,2028-12-30,,Geir Kåsa
22/00544,Fræna,Midt,NO3,Elinett AS,Salmon Evolution,Oppdrettsnæring,13.3,2023-12-06,2027-03-01,,Christopher Aarnseth Ruud
21/00163,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Microsoft Datacenter Norway AS,Datasenter,13.0,2021-05-07,2028-12-30,,Heidi Hellesvik Ringstad
22/00598,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Åsmyra Industripark,Industri,13.0,2023-06-30,2026-03-30,,Ingvild Grøtterud Birkeland
21/00435,Svartisen,Helgeland og Salten,NO4,Arva AS,Nova Sea,Oppdrettsnæring,13.0,2023-06-30,2026-12-30,,Ingvild Grøtterud Birkeland
23/01196,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,13.0,2025-11-16,2031-12-30,,Hans Olav Ween
25/02325,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,12.5,2024-05-22,2032-03-31,,Ingvild Grøtterud Birkeland
25/02114,Sogn,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,12.5,2024-10-23,2028-06-29,,Heidi Hellesvik Ringstad
21/00351,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Sisomar Smolt,Oppdrettsnæring,12.3,2023-06-30,2031-12-30,,Ingvild Grøtterud Birkeland
23/00821,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Infrastructure Group AS,Datasenter,12.0,2025-04-28,2029-06-29,,Heidi Hellesvik Ringstad
23/01154,Fræna,Midt,NO3,Elinett AS,Salmon Evolution AS,Oppdrettsnæring,12.0,2020-03-11,2027-12-31,,Christopher Aarnseth Ruud
24/01545,Sylling,Hallingdal og Ringerike,NO1,Glitre Nett AS,Chemring Nobel AS,Industri,12.0,2025-03-18,2026-12-30,,Heidi Hellesvik Ringstad
23/01109,Fræna,Midt,NO3,Elinett AS,Plug Romsdal AS,Transport,12.0,2023-12-06,2026-11-30,,Christopher Aarnseth Ruud
23/00866,Narvik,Nord,NO4,Noranett AS,Plug Nord AS,Transport,12.0,2025-10-08,2026-09-02,,Lars Erik Johansen
24/01744,Moskog,Sogn og Sunnmøre,NO3,Linja AS,NORDFJORD HAVN IKS,Transport,12.0,2025-11-12,2028-04-27,,Hans Olav Ween
25/02504,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,TQC AS,Industri,11.0,2022-09-27,2028-06-30,,Ingvild Grøtterud Birkeland
21/00400,Flesaker,Telemark og Vestfold,NO1,Glitre Nett AS,Drammen fjernvarme,Industri,11.0,2023-03-15,2025-12-30,,Heidi Hellesvik Ringstad
24/01492,Bamble,Telemark og Vestfold,NO2,Lede AS,Recuro AS,Industri,11.0,2025-04-10,2029-06-29,,Geir Kåsa
25/02314,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,10.0,2024-05-27,2025-12-31,,Ingvild Grøtterud Birkeland
24/01619,Vang,Innlandet,NO1,Elvia As,Eidsiva Bredbånd AS,Datasenter,10.0,2026-01-22,2035-12-30,,Heidi Hellesvik Ringstad
22/00660,Sildvik,Nord,NO4,Narvik Hydrogen AS,Narvik Hydrogen AS,Hydrogen/ammoniakk,10.0,2023-10-30,2027-01-30,,Lars Erik Johansen
23/01096,Moskog,Sogn og Sunnmøre,NO3,Linja AS,BUE SALMON AS,Oppdrettsnæring,10.0,2026-01-12,2028-08-30,,Hans Olav Ween
25/02315,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Norwegian Hydrogen,Hydrogen/ammoniakk,10.0,2024-05-27,2025-12-31,,Ingvild Grøtterud Birkeland
21/00283,Kårstø,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,10.0,2019-05-15,2029-12-30,,Magnus Tennøe
22/00516,Eidum,Midt,NO3,Tensio AS,Meråker Hydrogen AS,Hydrogen/ammoniakk,9.2,2023-12-06,2027-10-01,,Christopher Aarnseth Ruud
21/00127,Stord,Bergen og Haugalandet,NO2,Fagne AS,Lerøy,Oppdrettsnæring,9.0,2023-11-23,2026-09-30,,Magnus Tennøe
23/01412,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,H2 Production AS,Hydrogen/ammoniakk,9.0,2024-03-19,2029-12-30,,Magnus Tennøe
21/00036,Fræna,Midt,NO3,Elinett AS,Omya Hustadmarmor AS,Industri,9.0,2018-10-15,2028-12-31,,Christopher Aarnseth Ruud
22/00730,Dale,Bergen og Haugalandet,NO5,BKK AS,STATENS VEGVESEN,Transport,9.0,2022-11-10,2026-04-01,,Magnus Tennøe
24/01491,Sogn,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Rikshopistalet sykehus,Annet forbruk,9.0,2024-02-12,2030-03-30,,Heidi Hellesvik Ringstad
23/00896,Hof,Telemark og Vestfold,NO2,Lede AS,KOPSTAD GODSTERMINAL AS,Transport,8.8,2023-09-24,2027-03-30,,Geir Kåsa
25/01986,Narvik,Nord,NO4,Noranett AS,Narvikfjellet Allmen AS,Industri,8.5,2025-08-20,2028-01-31,,Lars Erik Johansen
24/01601,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GREEN HORIZON AS,Datasenter,8.0,2024-06-27,2028-12-31,,Ingvild Grøtterud Birkeland
24/01721,Bærheim,Sør Rogaland og Agder,NO2,Lnett AS,Asp Eiendom AS,Datasenter,8.0,2024-10-16,2031-12-30,,Ingvild Grøtterud Birkeland
